key,latitude,longitude,jun,sep,dez
425,41.8602696,-87.6277372,720,540,360
426,41.8602696,-87.6265309,270,132,187
427,41.8602696,-87.6253247,204,48,95
428,41.8602696,-87.6241184,118,111,194
429,41.8602696,-87.6229121,167,473,360
430,41.8602696,-87.6217058,156,540,360
431,41.8602696,-87.6204996,108,274,215
432,41.8602696,-87.6192933,0,145,64
433,41.8602696,-87.618087,0,53,72
434,41.8602696,-87.6168807,0,0,0
435,41.8602696,-87.6156744,0,0,117
436,41.8602696,-87.6144682,0,0,0
437,41.8602696,-87.6132619,0,0,0
438,41.8611679,-87.6398,0,0,0
439,41.8611679,-87.6385937,0,0,0
440,41.8611679,-87.6373874,0,0,0
441,41.8611679,-87.6361812,0,0,0
442,41.8611679,-87.6349749,0,0,0
443,41.8611679,-87.6337686,0,0,0
444,41.8611679,-87.6325623,0,0,0
445,41.8611679,-87.6313561,8,25,0
446,41.8611679,-87.6301498,326,265,149
447,41.8611679,-87.6289435,720,540,360
448,41.8611679,-87.6277372,720,540,360
449,41.8611679,-87.6265309,528,332,206
450,41.8611679,-87.6253247,720,540,360
451,41.8611679,-87.6241184,363,249,212
452,41.8611679,-87.6229121,77,9,199
453,41.8611679,-87.6217058,53,0,257
454,41.8611679,-87.6204996,0,0,168
455,41.8611679,-87.6192933,110,14,94
456,41.8611679,-87.618087,98,0,30
457,41.8611679,-87.6168807,95,181,360
458,41.8611679,-87.6156744,214,54,0
459,41.8611679,-87.6144682,66,0,0
460,41.8611679,-87.6132619,5,0,0
461,41.8620662,-87.6398,720,540,360
462,41.8620662,-87.6385937,0,0,0
463,41.8620662,-87.6373874,0,0,0
464,41.8620662,-87.6361812,55,53,13
465,41.8620662,-87.6349749,0,0,0
466,41.8620662,-87.6337686,0,0,0
467,41.8620662,-87.6325623,0,0,0
468,41.8620662,-87.6313561,0,0,0
469,41.8620662,-87.6301498,234,190,102
470,41.8620662,-87.6289435,719,540,360
471,41.8620662,-87.6277372,720,540,360
472,41.8620662,-87.6265309,347,276,325
473,41.8620662,-87.6253247,184,0,70
474,41.8620662,-87.6241184,374,171,141
475,41.8620662,-87.6229121,353,57,29
476,41.8620662,-87.6217058,720,540,360
477,41.8620662,-87.6204996,661,483,360
478,41.8620662,-87.6192933,720,540,360
479,41.8620662,-87.618087,271,199,108
480,41.8620662,-87.6168807,720,540,360
